#"Step","Potential Energy (kJ/mole)","Temperature (K)"
500,58.95834805345976,178.94590231996892
1000,66.27530902369017,192.0203559393258
1500,70.65824904738838,254.35792050971156
2000,91.6863889762426,237.79047639766497
2500,82.23065210862842,258.16045549261446
3000,80.2602180148242,239.59699146091614
3500,75.46556158298517,343.87078229280155
4000,76.4651546203786,309.1433339230255
4500,102.97971826045864,287.09644719689163
5000,102.28721364513513,295.7395614151129
5500,81.8302892347474,343.32436568385816
6000,75.39506193020506,297.1390664241646
6500,73.6285758103495,282.4847522392001
7000,75.75179184419484,233.839593316556
7500,62.23147131593578,229.354340454717
8000,75.7986950151775,303.49380806803276
8500,78.89646355328932,269.71504636249523
9000,83.50018002890283,174.08967329382438
9500,54.38866278319498,287.12333954864164
10000,65.80744247918119,196.57104404651434
10500,66.89709870144588,216.6098960195297
11000,87.62298308477762,275.1960809018365
11500,93.63685389495004,263.4221648551188
12000,93.02938196628838,304.38617037938917
12500,77.42392529794597,331.9355735622622
13000,70.67782794123559,341.79346537698007
13500,87.95160316065619,291.4602890996656
14000,89.5113348177183,340.9711472295266
14500,98.44330243037984,263.6471280858648
15000,79.81232390790137,488.0012246440479
15500,110.82443836495194,291.8400888579615
16000,94.75775967566028,282.77232583425786
16500,108.92078742943158,270.30825613714313
17000,78.24417017528276,307.8797556939287
17500,69.38928316565341,224.58595667059822
18000,87.06165367061908,344.15174935464904
18500,91.08737022006244,305.3212281867495
19000,93.56099415229983,396.8330493675947
19500,111.89319270303722,327.14130040994996
20000,96.58534731190593,390.18628118641084
20500,68.66901844662061,459.69384550307376
21000,93.8581745090828,327.129332664492
21500,107.5930091418495,266.2310948176192
22000,103.97061206963554,377.10744627692765
22500,94.19612619476516,407.25762749335723
23000,92.3989643902205,321.3587897179712
23500,97.70228347197371,189.1219641751509
24000,76.66657617713156,312.38187499230133
24500,91.2984554769514,243.8212162309672
25000,99.32591961972139,217.58565435604865
25500,94.84008181965874,397.25222797627936
26000,94.29622187654604,411.0074919433907
26500,111.05557698477098,400.47635705516774
27000,92.2542193995614,290.66048033475204
27500,86.09345961314625,290.72099711426455
28000,80.09631182751036,346.1825688031899
28500,113.6239485944177,248.84081421184962
29000,112.28079454915132,314.48556679970363
29500,104.64817925951593,227.2853713072241
30000,57.914661715173224,397.6229739508584
30500,78.2061560152506,261.94981965947346
31000,82.06666618288727,323.436258286367
31500,84.7323519855272,241.04019027707145
32000,72.50664266687818,256.16501253205814
32500,78.6092852335787,317.6816123358463
33000,76.49728317574255,326.3177650557606
33500,74.53285889375547,332.06955124752164
34000,83.913164560945,305.7826460792173
34500,95.86055186865269,204.05283965750857
35000,80.60282808002376,223.61703999271722
35500,75.79584505498224,244.3749341190757
36000,84.49836737467558,219.20872813237358
36500,67.79676258064137,241.18583903369122
37000,70.54922805917158,206.9524292347641
37500,89.64484423763224,266.4046697284052
38000,81.99396847884054,347.4713508268002
38500,71.85183944402155,306.93627449929824
39000,83.62966534803854,251.12670085699713
39500,76.1291877220814,241.46304253555508
40000,91.81830230967898,246.69419367637886
40500,93.2673152994962,317.11783854086104
41000,100.05748877002617,287.85388494109645
41500,98.70105225114094,283.19904363703205
42000,79.0067943283866,271.69197224583706
42500,63.75064115166447,342.912558222291
43000,77.60584858925586,234.8603675370523
43500,71.52930943526377,225.03885057771006
44000,87.01207367562756,170.04032292122292
44500,71.8093359100094,201.3322039663822
45000,74.84938077873812,311.2927029255864
45500,89.58951294085756,280.2157315893109
46000,73.08145877622701,231.63379271898228
46500,68.41886966136433,264.2669202254116
47000,89.10958530561197,201.9466221919865
47500,77.0746462980062,267.5510463378302
48000,72.44449416582938,261.32261229185366
48500,72.93941717149612,319.04750529012006
49000,82.5208321090555,277.09482476813747
49500,74.16423439133064,305.35846219287566
50000,78.40888723335502,327.527592506137
50500,63.06367800190259,331.3089181464036
51000,72.01894529093988,316.1865533559983
